"","Species","habitat_class"
"189","Rhabdosargus sarba",5
"190","Rhinogobius giurinus",3
"191","Rhinogobius sp.",3
"192","Rhinogobius sp.1",3
"193","Rhynchocypris lagowskii steindachneri",1
"194","Rhynchopelates oxyrhynchus",3
"195","Rudarius ercodes",6
"196","Sagamia geneionema",6
"197","Salvelinus sp.2",1
"198","Sardinella lemuru",6
"199","Sardinops melanostictus",6
"200","Saurida sp.",6
"201","Saurida sp.2",6
"202","Scomber scombrus",5
"203","Scomber sp.",6
"204","Scomberoides lysan",5
"205","Scomberomorus niphonius",6
"206","Scombrops sp.",6
"207","Scorpaena miostoma",6
"208","Scorpaenodes evides",6
"209","Sebastes koreanus",6
"210","Sebastes sp.",6
"211","Sebastes sp.1",6
"212","Sebastiscus marmoratus",6
"213","Sebastiscus tertius",6
"214","Sebastolobus sp.",6
"215","Semicossyphus reticulatus",6
"216","Seriola dumerili",6
"217","Seriola quinqueradiata",6
"218","Siganus sp.",5
"219","Sillago japonica",6
"220","Sphyraena pinguis",6
"221","Spratelloides gracilis",6
"222","Squalius cephalus",2
"223","Squatina japonica",6
"224","Stephanolepis cirrhifer",6
"225","Stephanolepis sp.",6
"226","Stethojulis terina",6
"227","Strongylura anastomella",6
"228","Symphurus cf microrhynchus",6
"229","Syngnathus schlegeli",5
"230","Takifugu / Lagocephalus",6
"231","Takifugu sp.",6
"232","Takifugu sp.1",6
"233","Takifugu sp.3",6
"234","Terapon jarbua",3
"235","Thamnaconus modestus",6
"236","Thunnus sp.1",5
"237","Thunnus sp.2",6
"238","Trachurus sp.",6
"239","Trachurus sp.1",6
"240","Trachurus trachurus",6
"241","Triacanthus biaculeatus",5
"242","Tribolodon sachalinensis",3
"243","Tribolodon sp.",3
"244","Trichiurus lepturus",5
"245","Tridentiger sp.",3
"246","Tridentiger sp.1",3
"247","Tridentiger trigonocephalus",3
"248","Upeneus japonicus",6
"249","Vinciguerria / Woodsia",6
"250","Xiphias gladius",6
"251","Zoarchias glaber",6
"252","Zoarchias neglectus",6
